Date,Message,Profile,Network,Like,comment,Shares,interaction rate,Message-ID,Profile-ID,Link
10/22/2025,"Gubernur Jawa Barat, Dedi Mulyadi (KDM), melakukan inspeksi mendadak (sidak) ke salah satu pabrik air minum dalam kemasan (AMDK) pada 21 Oktober 2025 dan menemukan fakta mengejutkan soal sumber air yang digunakan.

Dalam video yang diunggah di kanal resminya, KDM mengungkap bahwa air untuk produksi perusahaan besar tersebut ternyata bukan berasal dari mata air pegunungan, melainkan dari air tanah dalam hasil pengeboran artesis sedalam lebih dari 100 meter.

“Banyak masyarakat mengira air kemasan ini murni dari mata air alami. Faktanya, sebagian besar berasal dari sumur bor yang mengambil air tanah purba,” ujar Dedi.

Data menunjukkan, Danone-AQUA menggunakan sekitar 15.737,79 megaliter air tanah sepanjang 2023, atau setara 43 ribu meter kubik per hari. Air tersebut berasal dari akuifer vulkanik tua, lapisan air purba yang terbentuk selama ratusan tahun.

Meski perusahaan mengklaim telah menanam jutaan pohon dan membangun ribuan sumur resapan sebagai bentuk konservasi, para ahli menilai imbuhan air tanah dalam tidak sebanding dengan volume yang diambil. Akibatnya, di beberapa wilayah terjadi penurunan muka air tanah 1–3 meter per tahun, bahkan penurunan permukaan tanah hingga 23 sentimeter di sekitar area industri air minum.

Masyarakat di sekitar pabrik, terutama di Jawa Barat dan Jawa Timur, juga melaporkan debit sumur menurun dan sawah mengering selama musim kemarau.

KDM menegaskan bahwa sidak ini bukan untuk mencari kesalahan administratif, melainkan untuk mengembalikan kesadaran bahwa air adalah hak publik, bukan sekadar komoditas industri.",Harian Haluan,INSTAGRAM,34050,3562,37612,15.89%,1.81429E+16,4016232725,https://www.instagram.com/p/DQG5EE9knTS/
10/11/2025,"Mumbai Metro Line 3 (Aqua Line) is the city’s first fully underground metro, now operational from Cuffe Parade to Aarey, covering 33.5 km and 27 stations — including major hubs like CSMT, Churchgate, Mumbai Central, Dadar, Worli, BKC, and both airport terminals (T1 & T2) on a single route.

It’s a game-changer for Mumbai’s commute — offering air-conditioned, quiet, high-capacity trains that cut travel time by nearly half and bring much-needed consistency.

?? Ticket fares range from ₹10 to ₹70 depending on distance, making it an affordable, efficient alternative to traffic-clogged roads or multiple train changes.

If your daily route touches this line, it’s worth checking out. It won’t solve everything — but in a city like Mumbai, it might solve the one thing that matters most: time.

{Mumbai Metro Line 3, Aqua Line, underground metro, Cuffe Parade, Aarey, BKC, Dadar, Airport Metro, metro fare, metro ticket cost, travel time, Mumbai transport, metro stations, metro map, Mumbai commute}",Aniket Hele,INSTAGRAM,32394,110,32504,16.23%,1.78758E+16,16926912511,https://www.instagram.com/reel/DPqRaZhDEP0/
10/2/2025,"Waves and what ? 
#youraquagirl 
.
.
.
.
.
.
.
#aquagurl #aqua #waves #water #luxurylifestyle #luxury #love #lifestyle #yatching #waterbaby",Akanksha Bhalla,INSTAGRAM,30935,507,31442,16.94%,1.78703E+16,1724421538,https://www.instagram.com/p/DPS4q1Sj4fA/
10/23/2025,"Inspeksi mendadak oleh Gubernur Jawa Barat, Dedi Mulyadi, di pabrik Aqua kawasan Subang, mengungkap fakta penting terkait sumber air mineral yang dipasarkan perusahaan. 

Dalam video di YouTube KANG DEDI MULYADI CHANNEL, Dedi meminta bertemu pimpinan perusahaan dan meninjau lokasi sumber air. Ia terkejut saat mengetahui bahwa air yang digunakan berasal dari sumur bor dalam, dengan kedalaman mencapai 100–130 meter, bukan dari mata air alami seperti yang selama ini dipersepsikan publik.

Kepada wartawan, Dedi menyebutkan, “Saya kira air dari mata air, ternyata dari sumur bor. Pengambilan air dari lapisan tanah dalam dapat berpengaruh serius terhadap lingkungan.” Ia juga menyoroti potensi kerusakan lingkungan, termasuk peningkatan kejadian banjir di wilayah yang sebelumnya tidak rawan.

Pihak perusahaan menjelaskan bahwa pengambilan dari sumber dalam dilakukan untuk menjaga kualitas air. Namun, Dedi mengingatkan, eksploitasi besar-besaran ini berisiko memicu bencana ekologis dan mengubah tata air di wilayah tersebut.

Sementara itu, warganet dan masyarakat menuntut klarifikasi dari Aqua terkait sumber air yang tidak sesuai dengan iklannya yang mengklaim sumbernya dari air pegunungan alami. Mereka meminta perusahaan untuk transparan dan jujur mengenai sumber air yang digunakan.

Menanggapi isu ini, manajemen Danone Indonesia menyatakan bahwa sumber air Aqua berasal dari sumber pegunungan yang terlindungi, dengan kedalaman 60–140 meter, dan melalui kajian dampak lingkungan serta masyarakat sebelum pengambilan.

Inspeksi ini membuka mata publik akan proses produksi air mineral dan pentingnya transparansi perusahaan terhadap sumber bahan baku yang digunakan, serta dampaknya terhadap keberlanjutan lingkungan.

Sumber : suaracom, cnn indonesia",PENDAKI GUNUNG INDONESIA,INSTAGRAM,30483,750,31233,1.39%,1.79279E+16,1928580710,https://www.instagram.com/p/DQIe0fLk4nG/
10/23/2025,"Gubernur Jawa Barat Dedi Mulyadi melakukan kunjungan ke kawasan Pabrik AQUA di Kecamatan Cisalak, Kabupaten Subang, untuk menyerap aspirasi masyarakat sekitar pabrik. Dalam pertemuan itu, sejumlah warga menyampaikan keluhan terkait sulitnya mendapatkan air bersih meski tinggal di sekitar pabrik air minum terbesar di wilayah tersebut.

Dalam dialog yang berlangsung hangat, warga mengungkapkan bahwa selama ini mereka justru harus membeli air bersih dari pihak lain untuk kebutuhan sehari-hari. Padahal, di kawasan itu berdiri pabrik pengolahan air dalam kemasan yang selama ini dikenal memanfaatkan sumber air tanah setempat.",SUBANG INFO,INSTAGRAM,27087,1560,28647,19.90%,1.81724E+16,9890672501,https://www.instagram.com/reel/DQI54rogeR6/
10/22/2025,"Danone Indonesia buka suara soal konten di akun Youtube Gubernur Jawa Barat Dedi Mulyadi (Demul) alias KDM terkait sumber air Aqua. Dalam konten sidak Dedi Mulyadi itu, pengelola menyebut sumber air Aqua dari bawah tanah, bukan air permukaan.

Di akun Youtube KANGDEDIMULYADICHANNEL mulanya Dedi bertanya dari mana sumber air yang dipakai sebagai bahan baku air mineral dalam kemasan itu.

""Ngambil airnya dari sungai?"" kata Dedi bertanya kepada salah satu staf yang menemuinya.

""Airnya dari bawah tanah pak,"" kata Staff tersebut.

Manajemen Danone Indonesia buka suara terkait konten Dedi Mulyadi ini. Dalam keterangan tertulisnya, Danone menyatakan bahwa sumber air yang mereka pakai berasal dari sumber air pegunungan yang terlindungi.

""Air AQUA berasal dari 19 sumber air pegunungan yang tersebar di seluruh Indonesia. Setiap sumber air dipilih melalui proses seleksi ketat yang melibatkan 9 kriteria ilmiah, 5 tahapan evaluasi, Minimal 1 tahun penelitian,"" demikian keterangan Danone.

Danone mengakui sumber airnya bukan berasal dari permukaan, namun dari akuifer dalam dengan kedalaman 60-140 meter.

Simak berita selengkapnya hanya di tvonenews.com
#HardNews_Viral #NewsOne #CariBeritaditvOne #DediMulyadi #AQUA #Danone #Viral #NO3",tvOne,INSTAGRAM,22398,5534,27932,1.83%,1.80555E+16,1452762375,https://www.instagram.com/p/DQHMmQLDjV4/
10/18/2025,"Lên mạng tìm bố đường ai ngờ được thưởng hẳn 500tr

Khế Ước Bóng Tối
?? Khởi chiếu: 20:00 ngày 17/10 trên YouTube Aqua Entertainment
#AquaMedia #AquaEntertainment #kheuocbongtoi",Tình Yêu Hoàn Mỹ,FACEBOOK,23380,320,24444,1.03%,113702329983506_1136859648642300,1.13702E+14,https://www.facebook.com/reel/1866254643992339/
10/18/2025,SHINE AQUA ILLUSION ??????,Adam Ellis,FACEBOOK,7630,447,22620,2.08%,136450789739469_1354338192725412,1.36451E+14,https://www.facebook.com/325748115584430/posts/1354338192725412
10/19/2025,"Some colors are seen. Others are experienced.⁣
This is AI Aqua Rainbow, a stunning custom-made shade by #MaseratiFuoriserie. In motion, this unique glossy paint reveals a brilliant blue mica, transforming the MCPURA Cielo into a canvas in motion. ??​⁣
#MaseratiMCPURACielo #Maserati⁣
**⁣⁣⁣⁣⁣⁣⁣⁣
Please refer to the official technical specifications through link in bio.",Maserati,INSTAGRAM,21901,109,22010,0.15%,1.78802E+16,297527854,https://www.instagram.com/p/DP_eDzADRa7/
10/6/2025,"⛔️ايه اللي بيحصل في الاسماعيلية⛔
⏰الحق فرصتك و احجز وحدتك في اكبر و ارقى مشروع سكني تجاري بالاسماعيلية
AQUA PEARL CITY ISMAILIA
لمشاهدة الحلقة بالكامل  https://youtu.be/ejZE94sP13g
 
?? قسط لحد 10 سنين من غير أي فوائد
?? استلام خلال 3 سنين
?? مقدم يبدأ من 5% بس
ده موقع الكومباوند على google map
https://goo.gl/maps/8dyDXsea8we2nWt2A?g_st=aw

لمزيد من المعلومات تواصل معنا الان ????
✅التليفون: 01206257777",TRUST GROUP,FACEBOOK,13319,6763,21919,62.73%,161320821245051_1392998672825935,1.61321E+14,https://www.facebook.com/reel/2639982966360672/
